size,type,time,freq_before_hz,freq_after_hz,level,peak_memory_mb
10,seq,0.000000,2094950780,2094951199,0,1.85156
10,par,0.000368,2094950614,2094950900,1,1.82812
10,par,0.001158,2094950646,2094950864,2,4.84766
10,par,0.001104,2094950265,2094950997,3,4.83203
10,par,0.001645,2094950709,2094950684,4,2.84375
10,par,0.001672,2094950632,2094950905,5,4.82812
10,par,0.002480,2094950815,2094950538,6,2.79297
10,par,0.001811,2094950479,2094950704,7,4.72656
10,par,0.001377,2094950618,2094950089,8,4.85547
10,par,0.002377,2094950762,2094950829,9,4.84766
10,par,0.002102,2094950827,2094950801,10,4.84766
10,built,0.000001,2094950303,2094951137,0,1.74219
10,seq,0.000001,2094950712,2094951104,0,1.90625
10,par,0.000360,2094950798,2094950901,1,1.97656
10,par,0.001000,2094950851,2094950832,2,1.98438
10,par,0.001411,2094950825,2094950220,3,4.77344
10,par,0.001664,2094950843,2094950378,4,4.91797
10,par,0.002449,2094950501,2094950569,5,4.77734
10,par,0.001812,2094950512,2094950281,6,4.91406
10,par,0.003010,2094950922,2094950453,7,2.78125
10,par,0.001923,2094950646,2094950414,8,4.78906
10,par,0.001779,2094950795,2094950595,9,4.72656
10,par,0.001869,2094950862,2094950900,10,4.84766
10,built,0.000001,2094950675,2094951072,0,1.84375
10,seq,0.000000,2094950793,2094951064,0,1.80859
10,par,0.000362,2094950742,2094950921,1,1.94141
10,par,0.000532,2094950402,2094950959,2,2.80859
10,par,0.001702,2094950568,2094950945,3,2.85156
10,par,0.001660,2094950237,2094950217,4,4.83203
10,par,0.002249,2094950816,2094950603,5,2.89844
10,par,0.002155,2094949711,2094950793,6,4.85156
10,par,0.001610,2094950162,2094950377,7,2.82422
10,par,0.001772,2094950655,2094950197,8,4.84766
10,par,0.001887,2094950651,2094950621,9,2.85938
10,par,0.002185,2094950318,2094950266,10,4.85156
10,built,0.000001,2094950361,2094951109,0,1.66016
10,seq,0.000001,2094950494,2094951071,0,1.86328
10,par,0.000362,2094950649,2094951082,1,2.01172
10,par,0.001003,2094950225,2094950934,2,2.82812
10,par,0.001057,2094950814,2094950912,3,4.82812
10,par,0.001765,2094950789,2094950627,4,4.77734
10,par,0.001823,2094950806,2094950908,5,2.79297
10,par,0.001749,2094950810,2094950615,6,4.76953
10,par,0.001682,2094950370,2094950506,7,4.78516
10,par,0.002412,2094950138,2094950436,8,4.90625
10,par,0.001929,2094950663,2094948926,9,2.76953
10,par,0.001778,2094950718,2094950626,10,4.76562
10,built,0.000001,2094950802,2094951085,0,1.71484
10,seq,0.000000,2094950608,2094950975,0,1.85938
10,par,0.000362,2094950597,2094950926,1,2.85156
10,par,0.000531,2094950639,2094951023,2,1.84766
10,par,0.001825,2094950639,2094950735,3,4.74219
10,par,0.001429,2094950968,2094950743,4,4.72656
10,par,0.001796,2094950834,2094950634,5,4.91016
10,par,0.001736,2094950649,2094950839,6,6.91016
10,par,0.002127,2094950673,2094950501,7,4.82422
10,par,0.001798,2094950923,2094950804,8,4.80859
10,par,0.002333,2094950789,2094950646,9,4.89844
10,par,0.001716,2094950684,2094950835,10,4.83984
10,built,0.000001,2094950684,2094950979,0,1.74609
10,seq,0.000000,2094950651,2094950963,0,1.85156
10,par,0.000378,2094950460,2094950830,1,1.9375
10,par,0.001165,2094950654,2094951049,2,2.80469
10,par,0.001504,2094950320,2094950413,3,2.79297
10,par,0.002360,2094950463,2094950531,4,2.83984
10,par,0.003204,2094950673,2094950805,5,4.91406
10,par,0.001563,2094950723,2094950479,6,4.85156
10,par,0.002408,2094950751,2094950129,7,4.91406
10,par,0.002191,2094950784,2094950496,8,4.76562
10,par,0.001373,2094950529,2094951045,9,4.72656
10,par,0.001961,2094950898,2094950796,10,4.89062
10,built,0.000001,2094950402,2094950942,0,1.79297
10,seq,0.000001,2094950583,2094950896,0,1.78125
10,par,0.000360,2094950755,2094950568,1,1.96875
10,par,0.000528,2094950797,2094950899,2,2.03516
10,par,0.001987,2094950826,2094950111,3,4.76953
10,par,0.002317,2094949398,2094947549,4,2.78125
10,par,0.002001,2094950243,2094950722,5,4.79297
10,par,0.001791,2094950640,2094950777,6,4.89844
10,par,0.001783,2094950696,2094950969,7,4.72266
10,par,0.001875,2094950808,2094950602,8,2.90234
